"Timestamp","Age","How proficient are you with computers? [Answer:]","How acquainted are you with AI? [Answer]","Rate the attributes of the AI generated panning video (game_1) [Visual quality]","Rate the attributes of the AI generated panning video (game_1) [Realistic panning]","Rate the attributes of the AI generated panning video (game_1) [Inspiring AI]","Rate the attributes of the AI generated panning video (game_1) [Capturing context]","Rate the attributes of the AI generated panning video (ark) [Visual quality]","Rate the attributes of the AI generated panning video (ark) [Realistic panning]","Rate the attributes of the AI generated panning video (ark) [Inspiring AI]","Rate the attributes of the AI generated panning video (ark) [Capturing context]","Rate the attributes of the AI generated panning video (anime_2) [Visual quality]","Rate the attributes of the AI generated panning video (anime_2) [Realistic panning]","Rate the attributes of the AI generated panning video (anime_2) [Inspiring AI]","Rate the attributes of the AI generated panning video (anime_2) [Capturing context]","Rate the attributes of the AI generated panning video (hacettepe1_1) [Visual quality]","Rate the attributes of the AI generated panning video (hacettepe1_1) [Realistic panning]","Rate the attributes of the AI generated panning video (hacettepe1_1) [Inspiring AI]","Rate the attributes of the AI generated panning video (hacettepe1_1) [Capturing context]","Rate the attributes of the AI generated panning video (hacettepe2_2) [Visual quality]","Rate the attributes of the AI generated panning video (hacettepe2_2) [Realistic panning]","Rate the attributes of the AI generated panning video (hacettepe2_2) [Inspiring AI]","Rate the attributes of the AI generated panning video (hacettepe2_2) [Capturing context]","Rate the attributes of the AI generated panning video (hacettepe3_3) [Visual quality]","Rate the attributes of the AI generated panning video (hacettepe3_3) [Realistic panning]","Rate the attributes of the AI generated panning video (hacettepe3_3) [Inspiring AI]","Rate the attributes of the AI generated panning video (hacettepe3_3) [Capturing context]","Rate the attributes of the AI generated panning video (school_2) [Visual quality]","Rate the attributes of the AI generated panning video (school_2) [Realistic panning]","Rate the attributes of the AI generated panning video (school_2) [Inspiring AI]","Rate the attributes of the AI generated panning video (school_2) [Capturing context]","Rate the attributes of the AI generated panning video (anime_3) [Visual quality]","Rate the attributes of the AI generated panning video (anime_3) [Realistic panning]","Rate the attributes of the AI generated panning video (anime_3) [Inspiring AI]","Rate the attributes of the AI generated panning video (anime_3) [Capturing context]","Select the video that has better attributes (outlaws) [Visual quality]","Select the video that has better attributes (outlaws) [Visual variety]","Select the video that has better attributes (outlaws) [Game aesthetic]","Select the video that has better attributes (outlaws) [Panning quality]","Select the video that has better attributes (halflife) [Visual quality]","Select the video that has better attributes (halflife) [Visual variety]","Select the video that has better attributes (halflife) [Game aesthetic]","Select the video that has better attributes (halflife) [Panning quality]","Select the video that has better attributes (minecraft) [Visual quality]","Select the video that has better attributes (minecraft) [Visual variety]","Select the video that has better attributes (minecraft) [Game aesthetic]","Select the video that has better attributes (minecraft) [Panning quality]","Select the video that has better attributes (adobe) [Visual quality]","Select the video that has better attributes (adobe) [Visual variety]","Select the video that has better attributes (adobe) [Visual aesthetic]","Select the video that has better attributes (adobe) [Panning quality]","Do you think this research can lead towards creating games with AI generated panning [Answer]"
"2024/05/27 1:09:40 AM GMT+3","20","Moderately","Moderately","Good","Good","Average","Excellent","Good","Good","Average","Excellent","Good","Good","Good","Good","Average","Poor","Poor","Average","Average","Poor","Poor","Average","Good","Very Poor","Very Poor","Very Poor","Average","Very Poor","Very Poor","Very Poor","Good","Very Poor","Very Poor","Very Poor","AI Generated","AI Generated","Ground Truth","AI Generated","Ground Truth","Ground Truth","Ground Truth","Ground Truth","AI Generated","AI Generated","Ground Truth","Ground Truth","AI Generated","AI Generated","Ground Truth","Ground Truth","Strongly agree"
"2024/05/28 12:09:12 AM GMT+3","52","Very","Moderately","Excellent","Good","Excellent","Excellent","Excellent","Good","Excellent","Excellent","Excellent","Good","Excellent","Excellent","Excellent","Good","Excellent","Excellent","Excellent","Good","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Good","Excellent","Good","Average","Average","Good","Good","AI Generated","AI Generated","Ground Truth","Ground Truth","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","Adobe 2","Adobe 2","Adobe 2","Adobe 2","Strongly agree"
"2024/05/28 5:44:46 PM GMT+3","","Moderately","Moderately","Good","Average","Average","Poor","Good","Poor","Average","Average","Excellent","Excellent","Excellent","Excellent","Good","Good","Average","Good","Excellent","Excellent","Good","Good","Excellent","Poor","Poor","Average","Good","Good","Good","Excellent","Excellent","Excellent","Excellent","Excellent","AI Generated","AI Generated","AI Generated","AI Generated","Ground Truth","Ground Truth","Ground Truth","Ground Truth","AI Generated","AI Generated","AI Generated","AI Generated","Adobe 1","Adobe 2","Adobe 2","Adobe 1","Agree"
"2024/05/28 5:48:37 PM GMT+3","34","Moderately","Fair","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Poor","Poor","Poor","Poor","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Ground Truth","Ground Truth","Ground Truth","Ground Truth","Ground Truth","Ground Truth","Ground Truth","Ground Truth","Ground Truth","Ground Truth","Ground Truth","Ground Truth","Adobe 2","Adobe 2","Adobe 2","Adobe 2","Neutral"
"2024/05/28 5:54:24 PM GMT+3","45","Slightly","Moderately","Good","Good","Good","Good","Good","Good","Good","Good","Good","Average","Good","Good","Good","Average","Good","Good","Average","Good","Average","Good","Good","Average","Average","Average","Good","Average","Average","Good","Good","Good","Good","Good","Ground Truth","Ground Truth","Ground Truth","Ground Truth","Ground Truth","Ground Truth","Ground Truth","Ground Truth","Ground Truth","Ground Truth","Ground Truth","Ground Truth","Adobe 2","Adobe 2","Adobe 1","Adobe 2","Neutral"
"2024/05/28 6:01:30 PM GMT+3","24","Very","Not at all","Good","Good","Good","Good","Average","Average","Average","Average","Good","Average","Average","Average","Average","Poor","Poor","Poor","Poor","Poor","Poor","Poor","Average","Good","Good","Good","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Ground Truth","Ground Truth","Ground Truth","Ground Truth","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","Adobe 2","Adobe 2","Adobe 2","Adobe 2","Neutral"
"2024/05/28 6:02:56 PM GMT+3","23","Moderately","Fair","Poor","Average","Average","Poor","Poor","Poor","Poor","Poor","Average","Very Poor","Average","Average","Average","Poor","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Ground Truth","AI Generated","Ground Truth","Ground Truth","AI Generated","AI Generated","AI Generated","Ground Truth","AI Generated","AI Generated","AI Generated","AI Generated","Adobe 2","Adobe 2","Adobe 2","Adobe 1","Agree"
"2024/05/28 6:04:27 PM GMT+3","22","Moderately","Moderately","Good","Poor","Average","Poor","Good","Good","Good","Good","Excellent","Good","Good","Good","Poor","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Good","Good","Good","Good","Excellent","Excellent","Excellent","Excellent","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","Ground Truth","Ground Truth","AI Generated","Ground Truth","Adobe 2","Adobe 1","Adobe 2","Adobe 2","Agree"
"2024/05/28 6:05:03 PM GMT+3","23","Moderately","Not at all","Good","Good","Average","Average","Excellent","Excellent","Excellent","Excellent","Average","Average","Average","Average","Good","Good","Good","Good","Excellent","Excellent","Excellent","Excellent","Average","Average","Average","Average","Excellent","Excellent","Excellent","Average","Excellent","Excellent","Excellent","Excellent","AI Generated","AI Generated","AI Generated","AI Generated","Ground Truth","Ground Truth","AI Generated","AI Generated","Ground Truth","AI Generated","Ground Truth","AI Generated","Adobe 1","Adobe 1","Adobe 1","Adobe 1","Agree"
"2024/05/28 6:05:44 PM GMT+3","21","Moderately","Moderately","Poor","Average","Poor","Poor","Very Poor","Good","Good","Average","Average","Good","Good","Average","Average","Very Poor","Poor","Good","Very Poor","Very Poor","Poor","Poor","Very Poor","Good","Good","Good","Very Poor","Average","Average","Good","Very Poor","Average","Average","Very Poor","Ground Truth","Ground Truth","AI Generated","AI Generated","Ground Truth","AI Generated","AI Generated","AI Generated","Ground Truth","Ground Truth","AI Generated","Ground Truth","Adobe 1","Adobe 2","Adobe 2","Adobe 2","Strongly disagree"
"2024/05/28 6:18:51 PM GMT+3","15","Moderately","Moderately","Very Poor","Very Poor","Poor","Poor","Poor","Poor","Poor","Poor","Average","Average","Average","Average","Poor","Poor","Poor","Poor","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Ground Truth","Ground Truth","Ground Truth","Ground Truth","AI Generated","AI Generated","Ground Truth","Ground Truth","AI Generated","AI Generated","AI Generated","Ground Truth","Adobe 2","Adobe 2","Adobe 2","Adobe 2","Agree"
"2024/05/28 6:19:10 PM GMT+3","21","Moderately","Fair","Average","Very Poor","Good","Average","Good","Poor","Excellent","Good","Good","Good","Good","Average","Average","Poor","Poor","Poor","Average","Good","Average","Average","Excellent","Good","Excellent","Good","Good","Good","Good","Good","Excellent","Excellent","Excellent","Excellent","Ground Truth","AI Generated","Ground Truth","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","Ground Truth","AI Generated","Ground Truth","Ground Truth","Adobe 1","Adobe 2","Adobe 1","Adobe 1","Agree"
"2024/05/28 6:41:54 PM GMT+3","22","Moderately","Moderately","Average","Good","Good","Good","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Good","Average","Poor","Good","Average","Good","Poor","Good","Good","Good","Excellent","Excellent","Good","Excellent","Good","Good","Good","Good","Excellent","Excellent","Excellent","Excellent","Ground Truth","AI Generated","AI Generated","Ground Truth","Ground Truth","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","Adobe 2","Adobe 2","Adobe 2","Adobe 2","Strongly agree"
"2024/05/28 6:45:53 PM GMT+3","24","Moderately","Moderately","Good","Poor","Average","Average","Good","Poor","Poor","Average","Excellent","Average","Good","Good","Excellent","Good","Average","Good","Excellent","Good","Average","Good","Excellent","Average","Average","Good","Excellent","Good","Good","Good","Excellent","Good","Good","Good","Ground Truth","AI Generated","Ground Truth","AI Generated","Ground Truth","AI Generated","Ground Truth","Ground Truth","Ground Truth","AI Generated","Ground Truth","AI Generated","Adobe 2","Adobe 2","Adobe 1","Adobe 2","Neutral"
"2024/05/28 6:47:34 PM GMT+3","43","Very","Not at all","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","Adobe 2","Adobe 2","Adobe 2","Adobe 2","Neutral"
"2024/05/28 7:03:41 PM GMT+3","40","Moderately","Not at all","Poor","Poor","Very Poor","Poor","Very Poor","Very Poor","Very Poor","Very Poor","Poor","Very Poor","Very Poor","Very Poor","Very Poor","Very Poor","Very Poor","Very Poor","Very Poor","Very Poor","Very Poor","Very Poor","Poor","Very Poor","Very Poor","Very Poor","Poor","Average","Poor","Very Poor","Average","Very Poor","Very Poor","Very Poor","Ground Truth","Ground Truth","Ground Truth","Ground Truth","Ground Truth","AI Generated","Ground Truth","Ground Truth","Ground Truth","Ground Truth","AI Generated","Ground Truth","Adobe 1","Adobe 1","Adobe 2","Adobe 1","Disagree"
"2024/05/28 7:16:19 PM GMT+3","34","Moderately","Not at all","Average","Poor","Very Poor","Good","Average","Average","Poor","Good","Good","Good","Poor","Good","Average","Average","Poor","Average","Average","Average","Poor","Average","Good","Average","Average","Average","Average","Average","Average","Average","Average","Average","Good","Average","AI Generated","AI Generated","AI Generated","AI Generated","Ground Truth","Ground Truth","Ground Truth","Ground Truth","AI Generated","AI Generated","AI Generated","AI Generated","Adobe 2","Adobe 2","Adobe 2","Adobe 2","Agree"
"2024/05/28 7:29:05 PM GMT+3","34","Moderately","Fair","Good","Good","Good","Good","Good","Average","Good","Average","Good","Good","Excellent","Excellent","Good","Average","Average","Average","Good","Good","Good","Good","Good","Excellent","Excellent","Good","Excellent","Excellent","Excellent","Excellent","Good","Good","Good","Good","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","AI Generated","Adobe 1","Adobe 2","Adobe 1","Adobe 1","Strongly agree"
